dataset,trainer,model,seed,accs,mccs,uai_05,uai_01,uai_cf,uai_ar_05,uai_ar_01
adult,AL,mlp,0,0.7948402948402948,0.5241404132027764,0.201,0.174,0.173,0.029,0.007
adult,AL,mlp,100,0.7877764127764127,0.5200303874569007,0.191,0.161,0.158,0.033,0.009
adult,AL,mlp,10,0.8137285012285013,0.5613740524197168,0.211,0.185,0.178,0.034,0.005
compas,CAPIFY,mlp,100,0.6089068825910932,0.22168652143052023,0.05,0.019,0.014,0.037,0.003
compas,CAPIFY,mlp,10,0.6340080971659919,0.238794747028403,0.042,0.016,0.008,0.037,0.01
lin,CAPIFY,lin,100,0.6275,0.2035021529782513,0.18,0.15,0.143,0.117,0.103
lin,CAPIFY,lin,10,0.6525,0.29418622127048044,0.172,0.137,0.131,0.077,0.065
adult,CAPIFY,mlp,100,0.7870085995085995,0.4854180606668156,0.07,0.033,0.021,0.041,0.01
adult,CAPIFY,mlp,10,0.792997542997543,0.5067539083240975,0.065,0.028,0.018,0.047,0.013
adult,CAPIFY,mlp,11,0.7701167076167076,0.4730665845872388,0.059,0.028,0.02,0.04,0.009
loan,CAPIFY,mlp,100,0.7125,0.44216873752362207,0.202,0.199,0.198,0.112,0.111
loan,CAPIFY,mlp,10,0.7,0.4008605719067802,0.233,0.222,0.219,0.137,0.127
loan,CAPIFY,mlp,11,0.675,0.34986272135530605,0.25,0.245,0.243,0.139,0.136
imf,CAPIFY,lin,100,0.7225,0.44519461168233243,0.031,0.008,0.002,0.029,0.007
imf,CAPIFY,lin,10,0.715,0.42422556197471795,0.039,0.009,0.001,0.038,0.009
imf,CAPIFY,lin,11,0.74,0.479420416761591,0.035,0.003,0.002,0.032,0.006
adult,AL,mlp,28,0.7874692874692875,0.5204889869107928,0.224,0.194,0.186,0.041,0.009
adult,AL,mlp,2,0.7946867321867321,0.5261457126179621,0.218,0.187,0.18,0.044,0.01
adult,AL,mlp,37,0.8025184275184275,0.5433923764112801,0.24,0.212,0.205,0.038,0.011
nlm,CAL,mlp,100,0.355,0.151635638741445,0.543,0.524,0.521,0.23,0.201
nlm,CAL,mlp,10,0.2975,0.16091998137671223,0.373,0.359,0.356,0.235,0.228
compas,AL,mlp,100,0.671255060728745,0.339077732609945,0.215,0.18,0.171,0.039,0.011
compas,AL,mlp,10,0.6607287449392713,0.32574204665660283,0.186,0.154,0.148,0.042,0.008
compas,AL,mlp,11,0.6842105263157895,0.3672880941645196,0.165,0.132,0.124,0.046,0.011
imf,AL,lin,100,0.655,0.3111111672232945,0.305,0.29,0.286,0.116,0.096
imf,AL,lin,10,0.57,0.12450654315014238,0.323,0.316,0.311,0.115,0.096
imf,AL,lin,11,0.6375,0.2750975215303179,0.326,0.314,0.312,0.123,0.114
loan,AL,mlp,100,0.8225,0.6477086851162643,0.282,0.274,0.273,0.16,0.152
loan,AL,mlp,10,0.8325,0.664906418770291,0.297,0.289,0.289,0.164,0.155
loan,AL,mlp,11,0.8,0.6094820305151935,0.263,0.256,0.256,0.149,0.146
loan,AL,mlp,12,0.785,0.5697699224943089,0.262,0.259,0.259,0.147,0.143
loan,ROSS,mlp,100,0.835,0.6698699906879945,0.409,0.402,0.399,0.311,0.305
loan,ROSS,mlp,10,0.845,0.690000882194601,0.411,0.4,0.399,0.276,0.264
lin,AL,lin,100,0.64,0.2864935010885399,0.91,0.903,0.903,0.329,0.309
lin,AL,lin,10,0.575,0.14576451867510115,0.898,0.891,0.89,0.344,0.329
lin,AL,lin,11,0.58,0.1882261315823559,0.891,0.884,0.883,0.183,0.16
nlm,LLR,mlp,100,0.3925,0.2436035738574959,0.316,0.308,0.304,0.1,0.093
nlm,LLR,mlp,10,0.685,0.22092301552032864,0.314,0.313,0.313,0.313,0.313
adult,ROSS,mlp,100,0.687039312039312,0.419340169253371,0.259,0.142,0.104,0.123,0.044
adult,ROSS,mlp,10,0.6973280098280098,0.4380807230611202,0.185,0.1,0.067,0.102,0.026
compas,ROSS,mlp,100,0.6275303643724697,0.24869030699693614,0.266,0.211,0.197,0.065,0.013
compas,ROSS,mlp,10,0.6153846153846154,0.28715879118324655,0.151,0.116,0.108,0.048,0.013
lin,LLR,lin,100,0.6475,0.25225499029250786,0.338,0.338,0.338,0.332,0.332
lin,LLR,lin,10,0.575,0.1627358702064803,0.467,0.467,0.467,0.187,0.137
lin,LLR,lin,11,0.68,0.32422787303690465,0.319,0.318,0.318,0.307,0.307
imf,LLR,lin,100,0.7275,0.4557335663381661,0.097,0.08,0.077,0.047,0.033
imf,LLR,lin,10,0.6425,0.27309646269225735,0.409,0.395,0.393,0.131,0.117
loan,ERM,mlp,100,0.8775,0.755536107926918,0.393,0.388,0.386,0.281,0.274
loan,ERM,mlp,10,0.8575,0.7148809016027386,0.337,0.331,0.327,0.157,0.151
lin,ROSS,lin,100,0.7,0.36444433519467473,0.447,0.429,0.426,0.062,0.058
lin,ROSS,lin,10,0.6925,0.3829664443855556,0.51,0.492,0.488,0.135,0.127
lin,ROSS,lin,11,0.7175,0.40457982767492756,0.445,0.425,0.417,0.064,0.055
compas,ERM,mlp,92,0.6979757085020243,0.38414185520736255,0.206,0.174,0.169,0.041,0.007
compas,ERM,mlp,93,0.6663967611336032,0.331913819262118,0.248,0.211,0.204,0.051,0.008
compas,ERM,mlp,94,0.6842105263157895,0.36091592762883684,0.198,0.174,0.16,0.046,0.016
adult,CAL,mlp,100,0.7853194103194103,0.5108654424164892,0.252,0.215,0.208,0.046,0.011
adult,CAL,mlp,10,0.8066646191646192,0.5448976693165167,0.21,0.168,0.164,0.056,0.008
adult,ERM,mlp,37,0.7848587223587223,0.5335112635033172,0.214,0.177,0.17,0.047,0.008
adult,ERM,mlp,38,0.7982186732186732,0.5276078505108006,0.226,0.194,0.186,0.039,0.007
nlm,CAPIFY,mlp,100,0.4425,0.2733218168698229,0.469,0.447,0.441,0.323,0.315
nlm,CAPIFY,mlp,10,0.6725,0.212235063125309,0.446,0.432,0.431,0.275,0.268
nlm,ROSS,mlp,100,0.735,0.44352127475164443,0.555,0.528,0.525,0.399,0.369
nlm,ROSS,mlp,10,0.695,0.45590180584752416,0.576,0.554,0.542,0.396,0.369
imf,ERM,lin,100,0.7275,0.4551967373098843,0.044,0.014,0.009,0.031,0.009
imf,ERM,lin,10,0.6925,0.4172043914116402,0.062,0.051,0.048,0.031,0.015
imf,ERM,lin,11,0.75,0.4983442338055789,0.066,0.057,0.053,0.035,0.021
lin,AL,lin,27,0.5825,0.15895333900885406,0.928,0.926,0.926,0.237,0.203
lin,AL,lin,35,0.5825,0.15911961484561243,0.889,0.881,0.881,0.352,0.333
